Index,Hours,Julian_day,Week_day,T_°C,SR_W/m2,p_mb,Prec_mm,RH_%,WD_°,WS_m/s,NO2_ug/m3
17716,3,8,0,10.18,0,726.1,0,87.11,263.04,0.73,
17717,4,8,0,9.7,0,725.79,0,89.55,272.65,0.34,
17718,5,8,0,9.85,0,725.8,0,88.99,303.55,0.74,18.73
17719,6,8,0,9.45,1.18,726.11,0,90.44,222.21,0.96,29.72
17720,7,8,0,9.93,23.81,726.45,0,87.54,194.8,1.25,36.99
17721,8,8,0,12.29,189.1,727.11,0,72.51,175.84,1.77,36.58
17722,9,8,0,13.01,275.68,727.27,0,62.54,179.86,2.32,34.18
17723,10,8,0,14.79,489.11,726.92,0,54.75,175.19,2.01,48.98
17724,11,8,0,17.74,864.96,726.38,0,48.14,149.47,0.92,44.96
17725,12,8,0,19.05,883.73,725.64,0,43.57,64.36,1.26,25.14
17726,13,8,0,19.09,773.19,724.91,0,46.2,12.5,1.96,21.5
17727,14,8,0,18.01,278.09,724.5,0,48.63,13.24,2.57,23.5
17728,15,8,0,15.94,254.97,724.63,0,57.37,1.17,2.59,26.14
17729,16,8,0,15.13,192.88,724.77,0,64.17,137.1,0.97,33.58
17730,17,8,0,13.25,63.02,725.04,0,69.68,164.28,2.41,45.82
17731,18,8,0,13.22,55.37,725.06,0,66.28,167.8,2,46.65
17732,19,8,0,12.6,0,725.42,0,71.4,108.8,1.11,48.37
17733,20,8,0,12.03,0,726.01,0,75.56,160.48,1.21,39.68
17734,21,8,0,11.49,0,726.71,0,79.87,143.29,1.02,37.8
17735,22,8,0,11.17,0,727.35,0,80.59,147.32,0.63,34.38
17736,23,8,0,11.48,0,727.43,0,79.01,321.8,0.1,26.79
17737,0,9,1,11.5,0,727.29,0,80.09,123.61,0.41,22.96
17738,1,9,1,11.34,0,726.98,0,81.33,147.07,0.38,30.06
17739,2,9,1,10.66,0,726.25,0,87.98,192.96,0.99,24.22
17740,3,9,1,10.08,0,725.62,0,84.77,264.92,0.56,23.86
17741,4,9,1,9.52,0,725.5,0,83.03,268.99,0.59,23.42
17742,5,9,1,9.01,0,725.39,0,81.09,303.49,0.72,28.9
17743,6,9,1,8.88,2.35,725.52,0,84.08,299.75,0.64,31.68
17744,7,9,1,9.77,10.25,726.28,0,80.11,229.96,0.79,38.85
17745,8,9,1,10.71,51.58,726.73,0,76.29,196.28,1.25,52.67
17746,9,9,1,11.8,116.22,727.25,0,71.98,136.89,0.32,66.78
17747,10,9,1,13.47,233.36,727.33,0,65.16,53.17,0.37,76.54
17748,11,9,1,14.86,279.45,727.11,0,58.43,264.98,0.09,60.43
17749,12,9,1,16.05,413.93,726.4,0,51.56,10.5,0.98,58.33
17750,13,9,1,16.45,542.64,726.07,0,54.78,117.99,1.23,48.28
17751,14,9,1,16.28,365.04,725.55,0,55.33,85.56,1.51,37.36
17752,15,9,1,17.42,331.76,724.6,0,49.92,2.78,0.42,33.31
17753,16,9,1,17.3,419.79,723.79,0,50.61,24.9,1.4,27.98
17754,17,9,1,16.05,121.86,723.61,0,56.45,2.55,1.94,36.87
17755,18,9,1,15.63,123.54,724.05,0,59.6,52.12,1.23,37.78
17756,19,9,1,13.4,0,724.93,0,70.88,147.18,1.25,31.26
17757,20,9,1,11.45,0,725.82,0,83.91,162.16,1.4,30.5
17758,21,9,1,10.81,0,726.56,0,87.85,135.02,0.77,29.31
17759,22,9,1,10.7,0,727.25,0,86.3,133.22,0.57,28.44
17760,23,9,1,10.51,0,727.48,0,86.4,159.2,1.07,26.65
17761,0,10,2,10.58,0,727.25,0,83.62,178.11,0.99,25.78
17762,1,10,2,10.69,0,726.94,0,81.75,156.24,0.76,25.22
17763,2,10,2,10.56,0,726.07,0,82.57,195.87,1,21.56
17764,3,10,2,10.88,0,725.33,0,77.81,179.08,1.23,
17765,4,10,2,10.68,0,725.33,0,76.97,275.66,0.44,
17766,5,10,2,10.49,0,725.63,0,80.63,326.84,0.15,25.12
17767,6,10,2,10.06,2.22,726.07,0,82.16,263.76,0.56,30.07
17768,7,10,2,10.32,15.52,726.52,0,78.69,218.27,0.82,37.57
17769,8,10,2,11.34,90.49,726.98,0,67.45,198.02,1.27,48.4
17770,9,10,2,12.73,207.95,727.38,0,60.21,185.36,1.66,40.2
17771,10,10,2,14.45,333.88,727.28,0,47.86,170.1,1.84,47.68
17772,11,10,2,16.34,579.02,726.96,0,48.27,121.33,1.06,52.66
17773,12,10,2,16.22,395.03,726.54,0,53.72,66.78,1.11,62.38
17774,13,10,2,17.4,550.37,725.89,0,49.38,51.18,1.22,48.42
17775,14,10,2,17.02,646.69,725.31,0,51.06,110.13,1.85,33.16
17776,15,10,2,17.87,486.53,724.63,0,46.14,95.15,1.32,27.23
17777,16,10,2,17.16,279.9,724.13,0,50.08,86.58,1.22,37.52
17778,17,10,2,16.64,161.07,723.99,0,50.19,138.45,1.51,36.46
17779,18,10,2,15.57,72.95,724.2,0,58.56,164.36,1.95,36.9
17780,19,10,2,13.64,0,724.84,0,71.79,165.96,1.59,35.33
17781,20,10,2,12.66,0,725.68,0,77.73,143.1,1.04,37.6
17782,21,10,2,12.04,0,726.42,0,79.91,175.69,1.2,35.03
17783,22,10,2,11.53,0,727.13,0,82.19,168.86,1.37,28.97
17784,23,10,2,11.33,0,727.26,0,77.49,163.85,1.12,31.36
17785,0,11,3,10.35,0,727.32,0,85.46,202.77,0.24,23.8
17786,1,11,3,9.13,0,726.89,0,83.86,294.67,0.77,21.41
17787,2,11,3,8.83,0,726.39,0,82.47,263.17,0.93,18.92
17788,3,11,3,8.69,0,725.83,0,79.84,283.42,0.65,22.38
17789,4,11,3,8.27,0,725.67,0,80.84,245.05,0.72,22.08
17790,5,11,3,8.07,0,725.72,0,77.11,236.73,0.82,23.15
17791,6,11,3,8.03,0.66,726.03,0,77.94,280.96,0.48,25.27
17792,7,11,3,8.17,26.5,726.5,0,78.28,303.58,0.53,51.28
17793,8,11,3,13.13,181.37,727.13,0,59.15,165.99,0.99,58.48
17794,9,11,3,15.18,409,727.51,0,50.43,151.02,1.46,45.95
17795,10,11,3,16.27,636.68,727.54,0,47.78,143.68,1.59,28.84
17796,11,11,3,18.05,804.3,727.16,0,37.12,133.65,1.31,22.5
17797,12,11,3,19.75,851.26,726.64,0,26.82,38.42,1.03,34.81
17798,13,11,3,19.48,590.05,725.85,0,28.08,82.67,1.34,29.77
17799,14,11,3,19.51,704.71,725.05,0,35.62,72.96,1.8,16.89
17800,15,11,3,18.58,354.49,724.41,0,46.52,5.11,2.56,9.83
17801,16,11,3,18.13,354.41,723.96,0,42.4,340.41,2.02,24.91
17802,17,11,3,18.72,400.69,723.93,0,45.11,40.06,1.49,37.27
17803,18,11,3,15.89,102.74,724.49,0,56.99,8.85,2.61,40.91
17804,19,11,3,14.49,0,725.28,0,62.73,9.1,2.09,41.65
17805,20,11,3,13.41,0,726.17,0,70.5,44.59,1.04,39.65
17806,21,11,3,12.46,0,726.8,0,81.65,163.99,1.36,36.61
17807,22,11,3,11.94,0,727.46,0,86.67,148.15,0.73,33.61
17808,23,11,3,11.87,0,727.7,0,87.5,126.49,0.74,27.47
17809,0,12,4,11.28,0,727.5,0,91.33,127.65,0.88,26.22
17810,1,12,4,11.19,0,727.06,0,92.92,200.74,0.63,29.82
17811,2,12,4,11.41,0,726.23,0,89.43,201.1,0.82,25.12
17812,3,12,4,10.78,0,725.73,0,87.68,272.78,0.51,
17813,4,12,4,10.69,0,725.73,0,88.74,355.62,1.77,
17814,5,12,4,10.75,0,725.77,0,86.01,1.43,1.56,20.04
17815,6,12,4,10.71,2.36,726.1,0,86.8,164.72,0.67,23.87
17816,7,12,4,10.53,23.56,726.68,0,90.87,112.57,0.54,25.44
17817,8,12,4,12.77,191.39,727.24,0,79.64,182.87,1.13,30.22
17818,9,12,4,14.65,415.45,727.58,0,69.79,132.29,1.7,25.27
17819,10,12,4,15.35,632.09,727.84,0,67.03,114.08,1.43,21.33
17820,11,12,4,17.42,735.81,727.61,0,49.17,129.75,1.29,12.58
17821,12,12,4,18.34,789.56,726.83,0,39.78,118.58,1.39,17.47
17822,13,12,4,18.68,368.7,726.1,0,39.01,38.83,0.8,20
17823,14,12,4,15.93,335.5,725.58,0.2,60.94,3.88,2.79,15.69
17824,15,12,4,16.81,669.2,724.8,0,57.07,7.51,2.8,20.47
17825,16,12,4,15.24,225.39,724.51,0.1,66.84,106.38,0.22,42.1
17826,17,12,4,13.55,54.61,724.33,3.5,73.74,153.59,1.5699999999999998,45.15
17827,18,12,4,12.29,15.44,724.74,2.6,86.3,111.3,0.74,47.99
17828,19,12,4,11.49,0,725.39,0.6,91.26,160.38,1.67,49.86
17829,20,12,4,11.25,0,726.16,1.2,90.34,169.13,1.28,48.33
17830,21,12,4,11.49,0,726.97,0.1,91.1,80.5,0.52,40.39
17831,22,12,4,11.09,0,727.57,0,92.61,91.11,0.87,39.51
17832,23,12,4,11.21,0,727.78,0,92.31,131.35,0.43,27.38
17833,0,13,5,10.84,0,727.61,0,94.11,115.94,0.98,25.38
17834,1,13,5,10.81,0,727.07,0,94.98,133.3,0.95,19.88
17835,2,13,5,10.65,0,726.52,0,95.2,113.08,0.74,19.97
17836,3,13,5,10.67,0,726,0,94.56,158.68,0.79,24.86
17837,4,13,5,10.76,0,725.6,0,93.17,132.18,0.98,17.27
17838,5,13,5,10.6,0,725.68,0,93.8,92.76,0.69,17.22
17839,6,13,5,10.63,3.25,725.99,0,93.62,102.45,0.84,21.82
17840,7,13,5,10.42,14.46,726.48,0,94.1,98.39,0.86,24.21
17841,8,13,5,11.01,92.68,727.1,0,91.82,108.55,0.76,23.4
17842,9,13,5,13.26,365.15,727.45,0,79.27,118.4,0.94,24.58
17843,10,13,5,14.59,525.3,727.62,0,71.6,134.1,1.48,25.61
17844,11,13,5,14.66,239.62,727.49,0,71.68,43.53,0.44,22.09
17845,12,13,5,15.95,604.89,727.03,0,64.3,61.1,1.15,24.07
17846,13,13,5,16.28,512.64,726.36,0,64.54,92.57,1.51,19.37
17847,14,13,5,16.08,259.1,725.49,0,64.24,19.74,2.16,17.41
17848,15,13,5,15.43,155.7,724.61,0,62.64,8.25,2.4,12.19
17849,16,13,5,15.67,228.19,724.08,0,59.46,353.37,1.1,29.86
17850,17,13,5,14.5,62.97,724.13,0,70.29,152.66,2.3,36.12
17851,18,13,5,12.92,13.49,724.58,0,79.04,178.76,1.76,29.07
17852,19,13,5,12.08,0,725.16,0.4,82.54,353.73,0.98,31.15
17853,20,13,5,11.69,0,725.8,0.7,88.09,279.41,0.3,35.68
17854,21,13,5,11.63,0,726.59,0,90.5,158.58,0.79,29.87
17855,22,13,5,11.42,0,727.28,0.6,93.51,144.17,1.34,27.04
17856,23,13,5,11.17,0,727.48,0.6,95.56,176.38,1.38,21.81
17857,0,14,6,11.01,0,727.39,1.4,95.98,168.35,1.16,20.84
17858,1,14,6,10.86,0,726.99,1.8,96.41,169.71,1.29,21.24
17859,2,14,6,10.93,0,726.38,1.3,96,137.91,0.69,15.71
17860,3,14,6,10.31,0,725.81,17.1,95.72,116.13,0.46,
17861,4,14,6,9.66,0,725.54,5.7,95.52,191.84,0.58,
17862,5,14,6,9.85,0,725.69,1.6,95.16,60.75,0.3,14.95
17863,6,14,6,9.91,3.71,725.94,0.5,94.72,350.51,0.59,19.53
17864,7,14,6,9.98,37.88,726.46,0.1,94.74,146.17,0.83,15.12
17865,8,14,6,10.6,147.1,727.38,0,93.06,123.79,0.76,12.13
17866,9,14,6,12.23,344.09,727.84,0,83.87,132.8,1.25,11.76
17867,10,14,6,12.74,326.28,728.06,0,79.62,136.04,1.06,12.27
17868,11,14,6,15.19,669.2,727.71,0,67.56,21.34,0.4,15.97
17869,12,14,6,16.48,868.94,726.72,0,61.74,65.82,1.45,9.73
17870,13,14,6,15.75,323.51,725.8,0,61.56,7.17,1.98,8.48
17871,14,14,6,16.06,459.03,724.94,0,60.94,18.28,2.19,11.05
17872,15,14,6,15.72,260.08,724.22,0,63.29,276.02,0.31,13.75
17873,16,14,6,14.75,158.94,723.82,0,67.02,145.92,1.52,15.35
17874,17,14,6,12.12,28.04,724.27,2,86.77,160.58,3.03,22.02
17875,18,14,6,10.83,10.11,724.54,3.4,93.93,157.87,2.31,32.55
17876,19,14,6,10.74,0,724.96,2.8,94.24,164.26,1.11,34.51
17877,20,14,6,10.87,0,725.65,0.2,93.28,146.02,0.82,30.83
17878,21,14,6,10.79,0,726.33,0,90.84,128.69,0.86,23.91
17879,22,14,6,11,0,726.97,0,87.89,55.24,0.27,23.38
17880,23,14,6,10.83,0,727.06,0.2,91.21,1.78,1.15,11.71
17881,0,15,0,10.12,0,727.02,1.5,92.9,359.84,0.48,11.23
17882,1,15,0,10,0,726.54,1,94.18,53.38,0.55,7.53
17883,2,15,0,9.88,0,725.93,0,95.07,88.59,0.97,2.57
17884,3,15,0,9.64,0,725.33,0.1,95.69,77.94,1.38,4.09
17885,4,15,0,9.69,0,725.02,1.1,95.77,132.45,0.82,6.82
17886,5,15,0,9.53,0,725.16,0,96.54,146.32,1.03,12.97
17887,6,15,0,9.5,3.96,725.32,0.1,97.12,139.28,0.86,25.59
17888,7,15,0,9.6,6.02,725.9,0.1,97.34,114.08,0.83,29.15
17889,8,15,0,9.64,17.74,726.51,0,97.5,119.87,0.97,30.51
17890,9,15,0,9.96,44.42,727.03,0,97.21,151.57,1.21,28.77
17891,10,15,0,11.12,201.76,727.11,0,91,162.51,0.69,26.54
17892,11,15,0,12.69,199.7,726.98,0,78.47,310.69,0.58,18.4
17893,12,15,0,12.4,228.34,726.65,0.1,79.5,348.97,1.15,20.4
17894,13,15,0,13.34,317.2,726.01,0,75.6,306.12,0.41,34.8
17895,14,15,0,14.51,255.86,725.14,0.2,69.61,109.57,0.64,28.72
17896,15,15,0,11.26,43.25,724.84,11.4,87.87,284.98,0.97,35.84
17897,16,15,0,10.38,92.12,724.71,2.7,91.4,220.37,0.94,43.06
17898,17,15,0,10.84,80.6,724.6,1.1,91.34,183.66,1.64,41.54
17899,18,15,0,10.77,61.69,724.7,0.2,90.16,172.72,1.61,41.21
17900,19,15,0,10.65,0,725.22,0.1,89.96,156.47,0.85,34.74
17901,20,15,0,10.82,0,725.91,0,90.9,324.02,0.65,32.03
17902,21,15,0,10.78,0,726.51,0,91.78,339.34,0.7,32.48
17903,22,15,0,10.49,0,726.98,0,93.09,101.84,0.69,31.13
17904,23,15,0,10.11,0,727.3,0.3,95.23,122.46,0.66,28.4
17905,0,16,1,10.06,0,727.19,0.1,94.85,132,0.5,19.42
17906,1,16,1,10.11,0,726.89,0,93.75,312.32,0.44,18.05
17907,2,16,1,9.98,0,726.2,0,93.72,167.59,0.44,18.12
17908,3,16,1,10,0,725.67,0,93.86,116.48,0.29,22.49
17909,4,16,1,9.88,0,725.32,0,93.94,129.64,0.56,20.87
17910,5,16,1,9.73,0,725.37,0.1,94.92,170.44,0.91,22
17911,6,16,1,9.8,3.15,725.69,0,95.06,107.67,0.52,27.35
17912,7,16,1,9.93,15.67,726.2,0,94.95,161.86,0.8,28.42
17913,8,16,1,10.26,55.42,726.88,0.2,93.54,152.4,0.99,31.63
17914,9,16,1,10.67,106.18,727.43,0.6,92.74,158.86,1,40.5
17915,10,16,1,12.09,292.36,727.51,0.5,85.87,169.17,0.89,33.44
17916,11,16,1,13.66,364.89,727.17,0,70.68,175.6,1,38.09
17917,12,16,1,14.32,460.32,726.77,0,76.5,128.87,1.29,47.14
17918,13,16,1,14.02,260.27,726.26,0.2,78.95,140.64,1.14,16.2
17919,14,16,1,16.9,847.91,725.4,0,54.08,20.11,0.47,29.84
17920,15,16,1,17.53,338.17,724.37,0,54.18,75.65,0.83,33.83
17921,16,16,1,14.96,70.17,723.89,0,67.81,15.63,1.58,38.33
17922,17,16,1,12.39,13.62,723.92,6.2,84.34,211.2,0.94,48.45
17923,18,16,1,11.24,11.59,724.38,1.7,88.22,196.66,0.64,46.55
17924,19,16,1,10.86,0,725.17,3,91.14,175.29,0.59,41.11
17925,20,16,1,10.7,0,726.01,2.4,93.25,211.09,0.26,37.7
17926,21,16,1,10.71,0,726.53,0.2,92.67,195.16,0.79,35.54
17927,22,16,1,10.78,0,726.97,0,90.97,230.89,0.11,38.54
17928,23,16,1,10.65,0,727.17,0,92.54,131.25,0.36,35.24
17929,0,17,2,10.68,0,727.16,0,92.44,159.54,0.66,34.73
17930,1,17,2,10.74,0,726.74,0,92.89,89.7,0.3,33.84
17931,2,17,2,10.66,0,726.28,0,93.94,151.7,0.57,34.25
17932,3,17,2,10.61,0,725.81,0,94.2,165.57,0.72,28.95
17933,4,17,2,10.54,0,725.62,0.8,94.35,119.74,0.64,11.43
17934,5,17,2,10.4,0,725.61,0.7,95.36,91.76,0.55,17.17
17935,6,17,2,10.4,3.28,725.87,0,94.75,40.04,0.69,29.76
17936,7,17,2,10.43,20.09,726.29,0.1,94.92,52.74,0.76,36.24
17937,8,17,2,11.06,123.4,726.88,0,92.29,31.41,0.92,30.79
17938,9,17,2,11.89,205.96,727.46,0,83.41,5.85,1.47,24.73
17939,10,17,2,13.15,383.89,727.69,0,76.03,23.43,1.2,26.78
17940,11,17,2,14.11,395.5,727.53,0,70.09,41.06,1.04,34
17941,12,17,2,14.58,555.55,726.99,0,74.9,136.59,0.87,22.66
17942,13,17,2,15.56,550.45,726.4,0,66.28,37.06,1.7,21.72
17943,14,17,2,16.18,568.52,725.7,0,60.28,12.51,1.67,25.92
17944,15,17,2,15.88,239.08,725.01,0,61.5,20.89,1.82,18.31
17945,16,17,2,15.34,294.63,724.37,0,64.04,4.88,2.69,21.57
17946,17,17,2,14.69,171.45,724.04,0,64.45,4.77,2.97,31.49
17947,18,17,2,13.97,52.1,724.33,0,71.26,90.63,0.51,38.33
17948,19,17,2,12.73,0,724.84,0,83.6,173.16,1.89,32.46
17949,20,17,2,11.88,0,725.67,0,90.44,150.68,1.34,29.81
17950,21,17,2,11.36,0,726.5,0,92.98,171.4,1.4,28.13
17951,22,17,2,11.12,0,727.04,0,93.73,150.11,0.73,27.43
17952,23,17,2,10.95,0,727.34,0,94.07,132.86,0.88,22.14
17953,0,18,3,10.77,0,727.28,0,95.14,110.67,0.92,17.71
17954,1,18,3,10.52,0,727,0,96.69,104.96,1.11,12.92
17955,2,18,3,10.27,0,726.53,0,97.46,116.89,0.97,12.99
17956,3,18,3,10.13,0,726.08,0,97.85,157.31,0.58,16.15
17957,4,18,3,10.41,0,725.81,0.1,97.52,118.92,0.45,15.02
17958,5,18,3,10.4,0,725.64,0.4,97.32,92.69,0.52,18.76
17959,6,18,3,9.85,3.17,725.69,0,97.53,148.13,0.63,25.24
17960,7,18,3,10.07,11.4,726.05,0,97.54,11.18,0.49,28.83
17961,8,18,3,11.77,131.83,726.55,0,92.59,90.71,0.61,26.14
17962,9,18,3,11.79,305.71,727.1,0,88.31,124.61,1.22,28.25
17963,10,18,3,13.28,333.81,727.23,0,77.51,55.94,0.99,26.73
17964,11,18,3,14.92,513.72,726.81,0,66.44,46.85,1.29,25.14
17965,12,18,3,16.35,683.95,726.3,0,60.94,47.33,1.47,25.1
17966,13,18,3,15.54,336.82,725.88,0,66.13,70.73,1.69,21.76
17967,14,18,3,15.29,333.73,725.36,0,66.68,16.51,1.95,12.77
17968,15,18,3,16.8,748.86,724.6,0,57.9,356.92,2.09,21.36
17969,16,18,3,16.16,259.21,723.94,0,60.41,17.34,1.9,20.21
17970,17,18,3,15.73,267.65,723.77,0,63.06,7.17,2.48,21.77
17971,18,18,3,14.73,97.47,723.98,0,65.2,4.15,2.2,32.34
17972,19,18,3,13.74,0,724.32,0,70.73,23.77,1.53,29.62
17973,20,18,3,12.5,0,725.24,0,84.99,105.28,0.92,27.59
17974,21,18,3,12.27,0,725.92,0,83.99,75.15,0.62,23.56
17975,22,18,3,11.22,0,726.71,0,95.17,130.39,0.95,24.01
17976,23,18,3,11.29,0,726.75,0,96.08,141.63,0.9,20.59
17977,0,19,4,11.11,0,726.88,0,95.21,82.27,0.97,22.68
17978,1,19,4,11.26,0,726.59,0,91.46,20.53,0.66,21.17
17979,2,19,4,11.28,0,726,0,89.89,30.5,0.16,14.77
17980,3,19,4,10.78,0,725.62,0,93.16,90.08,0.3,13.79
17981,4,19,4,10.6,0,725.36,0,94.79,115.54,0.78,14.3
17982,5,19,4,10.44,0,725.18,0,95.92,124.11,0.54,14.38
17983,6,19,4,10.28,3.38,725.41,0,95.87,59.71,0.67,20.89
17984,7,19,4,10.55,12.63,725.86,0,92.97,2.96,0.77,23.83
17985,8,19,4,11.3,104.8,726.44,0,88.49,44.76,0.43,27.25
17986,9,19,4,12.64,296.03,726.93,0,81.41,133.94,0.91,26.06
17987,10,19,4,14.99,561.28,727.03,0,67.51,98.43,0.92,18.02
17988,11,19,4,16.17,588.77,726.72,0,56.07,137.34,0.2,11.89
17989,12,19,4,17.22,654.19,726.28,0,48.1,97.56,1.1,17.06
17990,13,19,4,17.12,522.69,725.71,0,51.55,70.76,1.3,15.12
17991,14,19,4,17.72,473.91,724.82,0,47.61,104.58,1.35,12.48
17992,15,19,4,16.98,634.87,724.06,0,57.13,348.85,1.27,16.83
17993,16,19,4,18.08,338.26,723.09,0,50.01,355.95,1.69,10.74
17994,17,19,4,16.23,304.34,722.96,0,60.26,354.26,3.27,17.17
17995,18,19,4,15.33,66.95,723.2,0,59.76,352.59,2.1,27.55
17996,19,19,4,14.57,0,723.64,0,67.27,0.85,2.2,25.54
17997,20,19,4,14.13,0,724.26,0,69.14,3.17,1.91,26.83
17998,21,19,4,13.65,0,725.02,0,73.87,7.89,2.02,19.2
17999,22,19,4,13.33,0,725.9,0,69.78,0.16,2.05,15.81
18000,23,19,4,13.34,0,725.93,0,66.48,333.27,0.86,22.84
18001,0,20,5,12.92,0,725.91,0,71.38,0.68,1.87,16.84
18002,1,20,5,12.6,0,725.59,0,71.76,3.66,1.69,19.3
18003,2,20,5,12.43,0,724.75,0,72.25,3.78,0.79,19.92
18004,3,20,5,11.66,0,724.41,0,81.48,68.29,0.5,17.03
18005,4,20,5,11.48,0,724.28,0,84.35,9.09,1.16,10.51
18006,5,20,5,11.84,0,724.37,0,73.49,4.42,1.23,17.41
18007,6,20,5,11.72,2.87,724.72,0,75.97,18.26,1.1,21.94
18008,7,20,5,11.4,21,725.18,0,80.18,23.99,0.89,18.28
18009,8,20,5,13.63,188.87,725.77,0,69.15,38.99,1.11,17.76
18010,9,20,5,14.15,286.03,726.09,0,64.25,32.57,1.16,26.36
18011,10,20,5,14.57,234.22,726.26,0,62.61,12.78,0.95,18.58
18012,11,20,5,16,563.08,726.01,0.1,58.45,204.8,0.22,13.32
18013,12,20,5,17.32,608.83,725.48,0,47.83,149.81,1.27,12.29
18014,13,20,5,17.76,710.72,724.77,0,48.18,147.03,1.65,12.83
18015,14,20,5,17.6,595.42,724.18,0,50.95,95.25,1.11,14.47
18016,15,20,5,17.4,323.45,723.56,0,53.25,41.97,0.71,12.87
18017,16,20,5,16.56,216.67,723.25,0,54.77,103.03,0.89,18.34
18018,17,20,5,15.81,179.11,723.2,0,67.85,30.06,0.72,23.71
18019,18,20,5,15.64,87.65,723.3,0,64.77,2.72,1.35,25.76
18020,19,20,5,13.99,0,723.81,0,71.63,341.7,1.89,24.81
18021,20,20,5,13.17,0,724.43,0,70.81,345.44,1.73,22.9
18022,21,20,5,12.69,0,724.99,0,68.09,271.8,0.95,22.11
18023,22,20,5,13.16,0,725.13,0,61.87,294.68,0.79,16.95
18024,23,20,5,12.77,0,725.33,0,65.87,356.11,1.94,17.42
18025,0,21,6,12.86,0,725.19,0,66.58,8.12,1.37,23.99
18026,1,21,6,12.42,0,724.9,0,74.62,6.27,1.89,20.99
18027,2,21,6,11.81,0,724.25,0,80.48,138.21,0.41,21.28
18028,3,21,6,11.36,0,723.76,0,85.91,180.69,0.49,18.82
18029,4,21,6,11.48,0,723.7,0,81.97,29.46,0.36,16.75
18030,5,21,6,11.11,0,723.8,0,84.52,18.24,1.22,15.35
18031,6,21,6,10.94,2.32,724.17,0,87.48,31.88,0.64,16.83
18032,7,21,6,10.72,15.71,724.64,0,91.45,171.56,0.65,18.32
18033,8,21,6,11.49,91.29,725.05,0,89.17,212.54,0.32,20.27
18034,9,21,6,13.38,187.06,725.23,0,72.98,16.03,0.75,18.9
18035,10,21,6,14.75,305.01,725.2,0,62,19.89,0.98,14.46
18036,11,21,6,16.59,465.65,725,0,51.92,121.81,0.92,7.5
18037,12,21,6,17.99,955.92,724.41,0,46.44,128.38,1.83,8.58
18038,13,21,6,18.69,819.9,723.76,0,46.47,107.87,1.63,9.09
18039,14,21,6,18.49,681.85,723.08,0,46.36,100.75,2.5,7.88
18040,15,21,6,18.46,482.55,722.41,0,46.06,121.14,1.46,10.33
18041,16,21,6,17.1,323.85,721.96,0,60.68,354.61,2.86,11.76
18042,17,21,6,15.73,146.04,721.88,0,64.73,356.93,2.68,19.19
18043,18,21,6,15.38,64.2,722.15,0,64.04,9.99,1.93,21.65
18044,19,21,6,14.58,0,722.65,0,67.81,1.38,1.8,25.62
18045,20,21,6,13.94,0,723.37,0,69.35,7.23,1.58,24.52
18046,21,21,6,13.38,0,724.28,0,72.32,18.81,1.41,21.71
18047,22,21,6,12.77,0,724.9,0,78.29,73.13,0.8,19.12
18048,23,21,6,12.3,0,725.19,0,82.7,107.55,0.43,21.03
18049,0,22,0,11.82,0,725.03,0,88.57,178.04,1.07,14.54
18050,1,22,0,11.39,0,724.58,0,90.14,141.72,0.8,9.92
18051,2,22,0,11.33,0,723.96,0,90,166.56,0.46,13.47
18052,3,22,0,11.5,0,723.49,0,88.83,112.38,0.31,12.64
18053,4,22,0,11.35,0,723.25,0,89.57,171.78,0.76,12.27
18054,5,22,0,10.93,0,723.28,0,92.76,113.79,0.55,17.22
18055,6,22,0,10.66,2.26,723.57,0,93.78,120.65,0.26,19.56
18056,7,22,0,10.9,20.83,723.92,0,93.1,327.99,0.44,25.17
18057,8,22,0,13.84,162.25,724.45,0,77.3,13.79,0.83,32.75
18058,9,22,0,15.44,429.87,724.86,0,69.86,113.37,1.07,36.06
18059,10,22,0,17.69,620.35,724.81,0,57.06,140.74,0.88,12.27
18060,11,22,0,18.73,863.33,724.63,0,45.38,159.96,1.6,11.48
18061,12,22,0,19.04,973.14,724.1,0,44.11,153.98,1.5699999999999998,15.78
18062,13,22,0,19.25,697.74,723.41,0,42.8,94.3,2.19,17.01
18063,14,22,0,18.96,538.46,722.65,0,48.93,16.74,1.73,14.32
18064,15,22,0,18.01,461.75,722.12,0,56.26,359.73,2.99,14.12
18065,16,22,0,17.16,353.45,721.74,0,58.96,359.34,3.19,14.21
18066,17,22,0,16.08,145.52,721.74,0,61.91,2.47,3.3,22.14
18067,18,22,0,14.72,17.47,722.23,0.8,69.31,13.59,1.52,25.16
18068,19,22,0,13.53,0,722.67,0,80.79,311.11,0.63,24.35
18069,20,22,0,13.77,0,723.45,0,76.11,356.83,0.96,23.97
18070,21,22,0,13.21,0,723.94,0,75.99,320.46,0.4,22.8
18071,22,22,0,12.1,0,724.78,0,86.52,293.77,0.41,19.21
18072,23,22,0,11.39,0,725.05,0,84.92,293.23,0.47,22.59
18073,0,23,1,11.66,0,725.11,0,87.36,220.96,0.55,21.75
18074,1,23,1,11.63,0,724.85,0.3,86.03,118.85,0.53,21.04
18075,2,23,1,11.29,0,724.18,0,89.32,246.1,0.17,18.83
18076,3,23,1,10.77,0,723.72,0.1,90.67,283.46,0.35,19.31
18077,4,23,1,10.14,0,723.79,0,92.84,216.57,0.32,19.56
18078,5,23,1,10.01,0,723.68,0,88.54,190.93,1.1,21.2
18079,6,23,1,10.16,0.01,723.94,0,74.1,215.76,1.5699999999999998,26.26
